"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 29, 2020","1,439.38","1,449.27","1,451.17","1,437.74","1.09B","-0.04%"
"Jan 28, 2020","1,439.96","1,452.31","1,455.09","1,434.53","1.20B","-0.32%"
"Jan 27, 2020","1,444.61","1,453.11","1,463.69","1,442.41","1.14B","-1.90%"
"Jan 24, 2020","1,472.64","1,494.80","1,497.63","1,455.34","1.51B","-0.48%"
"Jan 23, 2020","1,479.67","1,478.77","1,491.85","1,476.14","1.20B","-0.30%"
"Jan 22, 2020","1,484.10","1,505.17","1,509.25","1,480.02","1.35B","-0.85%"
"Jan 21, 2020","1,496.79","1,475.54","1,500.57","1,471.53","1.28B","0.74%"
"Jan 20, 2020","1,485.78","1,477.28","1,490.58","1,477.28","1.11B","0.92%"
"Jan 17, 2020","1,472.28","1,474.55","1,477.21","1,461.60","1.14B","0.40%"
"Jan 16, 2020","1,466.41","1,470.45","1,484.31","1,464.34","1.81B","0.03%"
"Jan 15, 2020","1,465.95","1,471.23","1,478.89","1,462.02","1.74B","-0.58%"
"Jan 14, 2020","1,474.44","1,464.40","1,475.71","1,454.57","1.72B","0.76%"
"Jan 13, 2020","1,463.38","1,456.54","1,473.17","1,455.78","1.84B","1.30%"
"Jan 10, 2020","1,444.56","1,438.74","1,450.32","1,431.66","1.74B","0.59%"
"Jan 09, 2020","1,436.06","1,400.60","1,438.06","1,400.49","1.96B","4.64%"
"Jan 08, 2020","1,372.38","1,348.53","1,377.32","1,345.77","1.24B","0.49%"
"Jan 07, 2020","1,365.75","1,369.60","1,376.24","1,362.46","907.81M","0.78%"
"Jan 06, 2020","1,355.14","1,367.39","1,373.27","1,352.44","1.08B","-1.82%"
"Jan 03, 2020","1,380.25","1,396.87","1,403.15","1,370.28","1.63B","-1.89%"
"Jan 02, 2020","1,406.81","1,394.05","1,406.81","1,389.89","1.40B","1.33%"
"Dec 31, 2019","1,388.30","1,394.68","1,399.11","1,388.30","996.28M","-0.22%"
"Dec 30, 2019","1,391.30","1,381.22","1,393.57","1,381.22","1.03B","1.01%"
"Dec 27, 2019","1,377.40","1,381.42","1,384.16","1,373.48","676.22M","0.02%"
"Dec 26, 2019","1,377.06","1,374.55","1,387.29","1,371.30","671.05M","0.29%"
"Dec 25, 2019","1,373.03","1,375.16","1,377.49","1,371.30","522.06M","0.04%"
"Dec 24, 2019","1,372.51","1,369.41","1,376.19","1,367.86","921.67M","0.85%"
"Dec 23, 2019","1,360.95","1,354.23","1,360.95","1,350.89","812.84M","0.69%"
"Dec 20, 2019","1,351.60","1,349.72","1,356.57","1,347.11","872.71M","0.54%"
"Dec 19, 2019","1,344.29","1,349.44","1,354.02","1,342.77","683.36M","-0.15%"
"Dec 18, 2019","1,346.28","1,346.37","1,350.34","1,340.77","826.39M","-0.51%"
"Dec 17, 2019","1,353.12","1,359.44","1,364.79","1,351.59","846.16M","-0.14%"
"Dec 16, 2019","1,355.07","1,350.27","1,359.93","1,344.07","931.90M","0.51%"
"Dec 13, 2019","1,348.23","1,353.75","1,365.55","1,342.59","1.38B","0.48%"
"Dec 12, 2019","1,341.82","1,321.87","1,341.82","1,321.87","1.18B","2.13%"
"Dec 11, 2019","1,313.81","1,316.32","1,318.69","1,310.17","648.03M","-0.23%"
"Dec 10, 2019","1,316.90","1,325.56","1,331.93","1,312.37","896.86M","-0.60%"
"Dec 09, 2019","1,324.90","1,327.55","1,329.08","1,316.90","864.03M","-0.26%"
"Dec 06, 2019","1,328.35","1,331.49","1,334.98","1,323.23","970.22M","0.05%"
"Dec 05, 2019","1,327.67","1,323.24","1,332.57","1,321.58","1.07B","0.80%"
"Dec 04, 2019","1,317.11","1,312.06","1,318.72","1,305.28","853.35M","0.81%"
"Dec 03, 2019","1,306.59","1,321.36","1,332.43","1,306.59","1.08B","-1.29%"
"Dec 02, 2019","1,323.61","1,318.20","1,326.57","1,316.73","826.43M","0.81%"
"Nov 29, 2019","1,313.03","1,319.27","1,324.15","1,308.66","776.40M","-0.35%"
"Nov 28, 2019","1,317.67","1,305.08","1,318.41","1,303.90","736.71M","1.16%"
"Nov 27, 2019","1,302.62","1,303.48","1,309.88","1,296.82","845.00M","-0.15%"
"Nov 26, 2019","1,304.59","1,299.62","1,307.43","1,289.91","1.24B","0.56%"
"Nov 25, 2019","1,297.27","1,321.09","1,329.22","1,296.14","1.20B","-1.23%"
"Nov 22, 2019","1,313.47","1,321.26","1,326.43","1,305.99","742.59M","-0.28%"
"Nov 21, 2019","1,317.12","1,317.20","1,323.57","1,310.65","868.57M","-0.03%"
"Nov 20, 2019","1,317.52","1,324.34","1,333.90","1,315.81","1.27B","-0.75%"
